ID,Name,Description,CLTS_BIPA,CLTS_Name
t_u0074u02BCu02D0,tʼː,,tʼː,long_voiceless_alveolar_ejective_stop_consonant
ts_u0074u0283u02BCu02D0,tʃʼː,,tʃʼː,long_voiceless_post-alveolar_ejective_sibilant_affricate_consonant
kw_u006Bu02B7u02BCu02D0,kʷʼː,,kʼʷː,labialized_long_voiceless_velar_ejective_stop_consonant
sw_u0073u02B7u02D0,sʷː,,sʷː,labialized_long_voiceless_alveolar_sibilant_fricative_consonant
_u0259,ə,,ə,unrounded_mid_central_vowel
i_u0268,ɨ,,ɨ,unrounded_close_central_vowel
q_u0071,q,,q,voiceless_uvular_stop_consonant
x_u0078,x,,x,voiceless_velar_fricative_consonant
g_u0263,ɣ,,ɣ,voiced_velar_fricative_consonant
h_u0127,ħ,,ħ,voiceless_pharyngeal_fricative_consonant
_u0295,ʕ,,ʕ,voiced_pharyngeal_fricative_consonant
t_u0074u02E4,tˤ,,tˤ,pharyngealized_voiceless_alveolar_stop_consonant
d_u0064u02E4,dˤ,,dˤ,pharyngealized_voiced_alveolar_stop_consonant
s_u0073u02E4,sˤ,,sˤ,pharyngealized_voiceless_alveolar_sibilant_fricative_consonant
d_u00F0u02E4,ðˤ,,ðˤ,pharyngealized_voiced_dental_fricative_consonant
l_u006Cu02E4,lˤ,,lˤ,pharyngealized_voiced_alveolar_lateral_approximant_consonant
a_u0061u02D0,aː,,aː,long_unrounded_open_front_vowel
ij_u0069u006A,ij,,,
au_u0061u0075,au,,au,from_unrounded_open_front_to_rounded_close_back_diphthong
aw_u0061u0077,aw,,,
uw_u0075u0077,uw,,,
ph_u0070u02B0,pʰ,,pʰ,aspirated_voiceless_bilabial_stop_consonant
bh_u0062u02B0,bʰ,,bʰ,aspirated_voiced_bilabial_stop_consonant
th_u0074u02B0,tʰ,,tʰ,aspirated_voiceless_alveolar_stop_consonant
dh_u0064u02B0,dʰ,,dʰ,aspirated_voiced_alveolar_stop_consonant
kh_u006Bu02B0,kʰ,,kʰ,aspirated_voiceless_velar_stop_consonant
gh_u0067u02B0,gʰ,,gʰ,aspirated_voiced_velar_stop_consonant
i_u0069u02D0,iː,,iː,long_unrounded_close_front_vowel
a_u0250u02D0,ɐː,,ɐː,long_unrounded_near-open_central_vowel
a_u0250,ɐ,,ɐ,unrounded_near-open_central_vowel
o_u006Fu02D0,oː,,oː,long_rounded_close-mid_back_vowel
u_u0289u02D0,ʉː,,ʉː,long_rounded_close_central_vowel
e_u025Cu02D0,ɜː,,ɜː,long_unrounded_open-mid_central_vowel
aei_u00E6u026A,æɪ,,æɪ,from_unrounded_near-open_front_to_unrounded_near-close_near-front_diphthong
ae_u0251u0065,ɑe,,ɑe,from_unrounded_open_back_to_unrounded_close-mid_front_diphthong
aeo_u00E6u0254,æɔ,,æɔ,from_unrounded_near-open_front_to_rounded_open-mid_back_diphthong
u_u0259u0289,əʉ,,əʉ,from_unrounded_mid_central_to_rounded_close_central_diphthong
oi_u006Fu026A,oɪ,,oɪ,from_rounded_close-mid_back_to_unrounded_near-close_near-front_diphthong
i_u026Au0259,ɪə,,ɪə,from_unrounded_near-close_near-front_to_unrounded_mid_central_diphthong
e_u0065u02D0,eː,,eː,long_unrounded_close-mid_front_vowel
c_u0063,c,,c,voiceless_palatal_stop_consonant
j_u025F,ɟ,,ɟ,voiced_palatal_stop_consonant
ts_u0074u0073,ts,,ts,voiceless_alveolar_sibilant_affricate_consonant
dz_u0064u007A,dz,,dz,voiced_alveolar_sibilant_affricate_consonant
r_u027E,ɾ,,ɾ,voiced_alveolar_tap_consonant
y_u0079,y,,y,rounded_close_front_vowel
w_u026F,ɯ,,ɯ,unrounded_close_back_vowel
oe_u0153,œ,,œ,rounded_open-mid_front_vowel
t_u0288,ʈ,,ʈ,voiceless_retroflex_stop_consonant
n_u0273,ɳ,,ɳ,voiced_retroflex_nasal_consonant
l_u026D,ɭ,,ɭ,voiced_retroflex_lateral_approximant_consonant
y_u028E,ʎ,,ʎ,voiced_palatal_lateral_approximant_consonant
r_u027B,ɻ,,ɻ,voiced_retroflex_approximant_consonant
u_u0075u02D0,uː,,uː,long_rounded_close_back_vowel
b_u0253,ɓ,,ɓ,voiced_bilabial_implosive_consonant
nb_u207Fu0062,ⁿb,,ⁿb,pre-nasalized_voiced_bilabial_stop_consonant
nd_u207Fu0064,ⁿd,,ⁿd,pre-nasalized_voiced_alveolar_stop_consonant
ndz_u207Fu0064u0292,ⁿdʒ,,ⁿdʒ,pre-nasalized_voiced_post-alveolar_affricate_consonant
ng_u207Fu0067,ⁿg,,ⁿg,pre-nasalized_voiced_velar_stop_consonant
ngw_u014Bu02B7,ŋʷ,,ŋʷ,labialized_voiced_velar_nasal_consonant
r_u027Eu0325,ɾ̥,,ɾ̥,devoiced_voiced_alveolar_tap_consonant
f_u0278,ɸ,,ɸ,voiceless_bilabial_fricative_consonant
b_u03B2,β,,β,voiced_bilabial_fricative_consonant
kh_u03C7,χ,,χ,voiceless_uvular_fricative_consonant
h_u0266,ɦ,,ɦ,voiced_glottal_fricative_consonant
e_u025Bu02D0,ɛː,,ɛː,long_unrounded_open-mid_front_vowel
o_u0254u02D0,ɔː,,ɔː,long_rounded_open-mid_back_vowel
s_u0282,ʂ,,ʂ,voiceless_retroflex_sibilant_fricative_consonant
ts_u0074u0282,tʂ,,ʈʂ,voiceless_retroflex_sibilant_affricate_consonant
r_u0281,ʁ,,ʁ,voiced_uvular_fricative_consonant
ai_u0061u0069,ai,,ai,from_unrounded_open_front_to_unrounded_close_front_diphthong
ei_u0065u0069,ei,,ei,from_unrounded_close-mid_front_to_unrounded_close_front_diphthong
oi_u006Fu0069,oi,,oi,from_rounded_close-mid_back_to_unrounded_close_front_diphthong
ui_u0075u0069,ui,,ui,from_rounded_close_back_to_unrounded_close_front_diphthong
eu_u0065u0075,eu,,eu,from_unrounded_close-mid_front_to_rounded_close_back_diphthong
r_u0280,ʀ,,ʀ,voiced_uvular_trill_consonant
b_u03B2u031E,β̞,,β̞,voiced_bilabial_approximant_consonant
y_u028F,ʏ,,ʏ,rounded_near-close_near-front_vowel
y_u0079u02D0,yː,,yː,long_rounded_close_front_vowel
o_u00F8u02D0,øː,,øː,long_rounded_close-mid_front_vowel
oe_u0153u02D0,œː,,œː,long_rounded_open-mid_front_vowel
ae_u00E6u02D0,æː,,æː,long_unrounded_near-open_front_vowel
a_u0251u02D0,ɑː,,ɑː,long_unrounded_open_back_vowel
i_u026Au02D0,ɪː,,ɪː,long_unrounded_near-close_near-front_vowel
ei_u025Bu0069u02D0,ɛiː,,ɛiː,from_unrounded_open-mid_front_to_long_unrounded_close_front_diphthong
au_u0251u0075u02D0,ɑuː,,ɑuː,from_unrounded_open_back_to_long_rounded_close_back_diphthong
ou_u0254u0075u02D0,ɔuː,,ɔuː,from_rounded_open-mid_back_to_long_rounded_close_back_diphthong
